timestamp,HY_2080_1#AI705.PV,HY_2080_1#AI701.PV,HY_2080_1#AIAS704.PV,HY_2080_1#FI702.PV,HY_2080_1#FIC701.PV,HY_2080_1#LIC701.PV,HY_2080_1#FIQ101.PV,HY_2080_1#FIQC102_2.PV,HY_2080_1#FIC103_2.PV,HY_2080_1#FIC8.PV,HY_2080_1#FIC8.MV,HY_2080_1#FIC1_1.PV,HY_2080_1#FI105.PV,HY_2080_1#PdI2.PV,HY_2080_1#PdI1.PV,HY_2080_1#PIC104.PV,HY_2080_1#PIA2.PV,HY_2080_1#PI1.PV,HY_2080_1#FIC3.MV,HY_2080_1#FI131.PV,HY_2080_1#TI1003.PV,HY_2080_1#AIAS102.PV,HY_2080_1#AIAS103.PV
2026-04-18 14:18:26,99.91014862,13.3342247,0.496550679,39418.34375,1550.252075,251.7678986,210842.0781,43151.48438,82620.6875,258.7193604,60.0,5163.847656,21816.43164,3.921406507,4.920183182,7.027121067,32.84936142,414.848175,32.0,610.6958618,,99.57138062,0.126796961
2026-04-18 14:18:31,99.90991974,13.33561611,0.496508032,39329.94531,1551.165283,252.1569824,210823.9219,43140.13281,82626.03906,258.564209,60.0,5165.725098,21738.99023,3.924427986,4.915334702,7.026694775,32.84833527,414.850769,32.0,615.2252197,,99.57105255,0.126796961
2026-04-18 14:18:36,99.90968323,13.33700752,0.496465385,38834.4375,1548.511597,252.5460815,210805.7813,43128.78516,82631.39063,258.3557434,60.0,5167.602051,21799.70313,3.927449703,4.910485744,7.026268959,32.84730911,414.853363,32.0,618.2682495,,99.57071686,0.126796961
2026-04-18 14:18:41,99.90945435,13.33839893,0.496422738,38796.47266,1545.521118,252.9351807,210787.625,43117.43359,82636.74219,258.4892883,60.0,5169.479492,21860.41602,3.930471182,4.906074524,7.025843143,32.84628677,414.855957,32.0,620.0003662,,99.57038116,0.126796961
2026-04-18 14:18:46,99.90922546,13.33979034,0.496380091,39446.41406,1544.912964,253.3092194,210769.4688,43106.08203,82642.08594,258.6419373,60.0,5171.356934,21921.12891,3.933492899,4.905979156,7.025416851,32.84526062,414.858551,32.0,621.7324829,,99.5700531,0.126796961
2026-04-18 14:18:51,99.90898895,13.34118176,0.496337444,39393.60938,1541.889282,253.6802826,210753.2031,43094.73438,82649.85156,258.7945862,60.0,5173.233887,21968.93945,3.936514616,4.905883789,7.024991035,32.84423447,414.861145,32.0,623.4646606,,99.56971741,0.126796961
2026-04-18 14:18:56,99.90876007,13.34257317,0.496294796,39323.81641,1545.963379,254.0513611,210737.0469,43083.38281,82661.92188,258.9472656,60.0,5175.111328,21948.13281,3.939536095,4.905787945,7.02456522,32.84320831,414.863739,32.0,625.1967773,,99.56938934,0.126796961
2026-04-18 14:19:01,99.90852356,13.34396458,0.496252149,39662.55859,1543.956787,254.4224243,210720.8906,43082.90625,82673.99219,259.0999146,60.0,5147.103027,21927.32617,3.940266132,4.905692577,7.024138927,32.84313583,414.866333,32.0,625.6849976,,99.56905365,0.126796961
2026-04-18 14:19:06,99.90829468,13.34535599,0.496209502,39448.96094,1541.950195,254.7934875,210704.7344,43089.91797,82686.07031,259.2525635,60.0,5156.453613,21906.51953,3.939984322,4.90559721,7.023713112,32.84406662,414.868927,32.0,625.0813599,,99.56871796,0.126805127
2026-04-18 14:19:11,99.9080658,13.3467474,0.496166855,39559.48438,1539.943604,255.164566,210688.5781,43096.92969,82698.14063,259.4052429,60.0,5176.072266,21890.70117,3.939702511,4.905501842,7.023286819,32.84500122,414.871521,32.0,624.4777222,,99.56838989,0.12687993
