事件编号,严重程度,等级代码,开始时间,结束时间,持续时长(min),窗口数,形态类型,形态名称,AI705工作点,AI705谷值,AI705相对下凹,恢复比例,谷值个数,候选下凹段数,轻度下凹阈值,中度下凹阈值,重度下凹阈值,轻度时长阈值(min),中度时长阈值(min),重度时长阈值(min),基线可信度,基线方法,最大单步下跌,最大原始单步下跌,下凹面积,判定依据,是否典型案例
NP-026,重度,high,2026-04-10 00:45:36,2026-04-10 03:00:36,135.0,22,incomplete,形态不完整,99.9253,99.1995,0.7258,0.6334,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,13.9687,按6h窗口剔除下凹点估计工作点 99.93，识别到形态不完整；最低 99.20，相对下凹 0.73，持续 30 min，恢复 63%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：中度氮塞,是
NP-027,中度,medium,2026-04-10 19:15:36,2026-04-10 21:10:36,115.0,18,multi_valley,多谷下凹,99.9264,99.2798,0.6466,0.5081,10,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0004,0.0005,14.817,按6h窗口剔除下凹点估计工作点 99.93，识别到多谷下凹；最低 99.28，相对下凹 0.65，持续 30 min，恢复 51%，小谷 10 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：中度氮塞,否
NP-028,中度,medium,2026-04-10 23:15:36,2026-04-11 01:05:36,110.0,17,incomplete,形态不完整,99.9084,98.7716,1.1368,0.6382,1,1,0.45,0.99,2.025,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,22.0049,按6h窗口剔除下凹点估计工作点 99.91，识别到形态不完整；最低 98.77，相对下凹 1.14，持续 30 min，恢复 64%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.45且>=7min，中度>=0.99且>=16min，重度>=2.02且>=33min 分级：中度氮塞,是
NP-029,中度,medium,2026-04-11 02:45:36,2026-04-11 04:40:36,115.0,18,incomplete,形态不完整,99.9019,98.8846,1.0174,0.6375,1,1,0.45,0.99,2.025,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,19.6143,按6h窗口剔除下凹点估计工作点 99.90，识别到形态不完整；最低 98.88，相对下凹 1.02，持续 30 min，恢复 64%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.45且>=7min，中度>=0.99且>=16min，重度>=2.02且>=33min 分级：中度氮塞,是
NP-030,轻度,low,2026-04-18 14:15:36,2026-04-18 15:45:36,90.0,13,incomplete,形态不完整,99.9264,99.7098,0.2166,0.6304,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0006,4.0653,按6h窗口剔除下凹点估计工作点 99.93，识别到形态不完整；最低 99.71，相对下凹 0.22，持续 29 min，恢复 63%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：轻度氮塞,是
NP-031,重度,high,2026-04-19 13:55:36,2026-04-19 16:35:36,160.0,27,incomplete,形态不完整,99.9286,96.7218,3.2068,0.4609,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.005,0.0101,75.3702,按6h窗口剔除下凹点估计工作点 99.93，识别到形态不完整；最低 96.72，相对下凹 3.21，持续 30 min，恢复 46%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：重度氮塞,是
NP-032,重度,high,2026-04-20 13:35:36,2026-04-20 16:20:36,165.0,28,incomplete,形态不完整,99.9404,96.2147,3.7258,0.49,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,83.5121,按6h窗口剔除下凹点估计工作点 99.94，识别到形态不完整；最低 96.21，相对下凹 3.73，持续 30 min，恢复 49%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：重度氮塞,是
NP-033,中度,medium,2026-04-20 17:00:36,2026-04-20 18:45:36,105.0,16,incomplete,形态不完整,99.833,98.7101,1.1229,0.675,1,1,0.45,0.99,2.025,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,21.221,按6h窗口剔除下凹点估计工作点 99.83，识别到形态不完整；最低 98.71，相对下凹 1.12，持续 30 min，恢复 68%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.45且>=7min，中度>=0.99且>=16min，重度>=2.02且>=33min 分级：中度氮塞,是
NP-034,中度,medium,2026-04-20 21:35:36,2026-04-20 23:15:36,100.0,15,incomplete,形态不完整,99.9081,98.8835,1.0246,0.5564,1,1,0.45,0.99,2.025,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,22.2925,按6h窗口剔除下凹点估计工作点 99.91，识别到形态不完整；最低 98.88，相对下凹 1.02，持续 30 min，恢复 56%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.45且>=7min，中度>=0.99且>=16min，重度>=2.02且>=33min 分级：中度氮塞,是
NP-035,中度,medium,2026-04-21 10:55:36,2026-04-21 12:45:36,110.0,17,incomplete,形态不完整,99.9286,99.261,0.6676,0.6138,1,1,0.18,0.63,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0,0.0,13.1336,按6h窗口剔除下凹点估计工作点 99.93，识别到形态不完整；最低 99.26，相对下凹 0.67，持续 30 min，恢复 61%，小谷 1 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.18且>=7min，中度>=0.63且>=16min，重度>=1.20且>=33min 分级：中度氮塞,否
NP-036,轻度,low,2026-04-21 13:30:36,2026-04-21 14:20:36,50.0,5,multi_valley,多谷下凹,99.9246,99.6698,0.2548,0.165,10,1,0.2105,0.6605,1.2,7.48,16.45,32.91,high,stable_segment_quantile_after_dip_exclusion,0.0008,0.0011,6.597,按6h窗口剔除下凹点估计工作点 99.92，识别到多谷下凹；最低 99.67，相对下凹 0.25，持续 30 min，恢复 16%，小谷 10 个，候选下凹 1 段，本设备按当前6h稳定基线和噪声计算标准：轻度>=0.21且>=7min，中度>=0.66且>=16min，重度>=1.20且>=33min 分级：轻度氮塞,是
