事件编号,开始时间,谷底时间,结束时间,持续min,AI705基准,AI705最低,下凹幅度,下凹面积,AI705_粗氩氩含量_前30均值,AI705_粗氩氩含量_区间均值,AI705_粗氩氩含量_后30均值,AI705_粗氩氩含量_区间较前变化,AI705_粗氩氩含量_区间较前变化率%,AI701_氩馏分氩含量_前30均值,AI701_氩馏分氩含量_区间均值,AI701_氩馏分氩含量_后30均值,AI701_氩馏分氩含量_区间较前变化,AI701_氩馏分氩含量_区间较前变化率%,FI702_氩馏分流量_前30均值,FI702_氩馏分流量_区间均值,FI702_氩馏分流量_后30均值,FI702_氩馏分流量_区间较前变化,FI702_氩馏分流量_区间较前变化率%,FIC701_粗氩流量_前30均值,FIC701_粗氩流量_区间均值,FIC701_粗氩流量_后30均值,FIC701_粗氩流量_区间较前变化,FIC701_粗氩流量_区间较前变化率%,FIQ101_原料空气总流量_前30均值,FIQ101_原料空气总流量_区间均值,FIQ101_原料空气总流量_后30均值,FIQ101_原料空气总流量_区间较前变化,FIQ101_原料空气总流量_区间较前变化率%,FIQC102_产品氧流量_前30均值,FIQC102_产品氧流量_区间均值,FIQC102_产品氧流量_后30均值,FIQC102_产品氧流量_区间较前变化,FIQC102_产品氧流量_区间较前变化率%,FIC103_产品氮流量_前30均值,FIC103_产品氮流量_区间均值,FIC103_产品氮流量_后30均值,FIC103_产品氮流量_区间较前变化,FIC103_产品氮流量_区间较前变化率%,FI105_膨胀机增压端空气流量_前30均值,FI105_膨胀机增压端空气流量_区间均值,FI105_膨胀机增压端空气流量_后30均值,FI105_膨胀机增压端空气流量_区间较前变化,FI105_膨胀机增压端空气流量_区间较前变化率%,FIC1_膨胀空气进上塔流量_前30均值,FIC1_膨胀空气进上塔流量_区间均值,FIC1_膨胀空气进上塔流量_后30均值,FIC1_膨胀空气进上塔流量_区间较前变化,FIC1_膨胀空气进上塔流量_区间较前变化率%,PdI2_上塔阻力_前30均值,PdI2_上塔阻力_区间均值,PdI2_上塔阻力_后30均值,PdI2_上塔阻力_区间较前变化,PdI2_上塔阻力_区间较前变化率%,PdI1_下塔阻力_前30均值,PdI1_下塔阻力_区间均值,PdI1_下塔阻力_后30均值,PdI1_下塔阻力_区间较前变化,PdI1_下塔阻力_区间较前变化率%,AI705后30恢复比例%,AI705形态分级,支持证据,干扰/待排查,初步归类
E11,2026-04-02 10:19:00,2026-04-02 10:39:00,2026-04-02 12:13:00,115.0,99.8906,95.2437,4.6469,231.44,99.86066652966664,97.8795111617826,99.73062222766664,-1.9811553678840423,-1.9839196319558712,12.826229794333331,12.189736528347826,12.616055122500002,-0.6364932659855054,-4.962434606206028,42725.202800833344,42333.229569217394,42253.26217533334,-391.97323161594977,-0.9174286040095856,1862.2558451333337,1654.1764032956523,1599.555737333333,-208.0794418376813,-11.17351530303739,225034.20418333335,225063.21971608695,225222.7906283333,29.01553275360493,0.0128938322327063,46306.14010466667,45185.0824223913,45803.60065149998,-1121.057682275372,-2.420969831951925,88401.78151199999,89036.53702569565,88537.53632966666,634.7555136956653,0.7180347531904673,22837.7142255,22760.692773478266,22703.45446033333,-77.02145202173779,-0.337255520676135,6299.076529950001,6325.952122965218,6247.973877,26.87559301521742,0.4266592553278717,4.450841975216666,4.530146250495652,4.46025451025,0.0793042752789858,1.7817814184500531,5.608831779183332,5.6434248655,5.6076698939166665,0.0345930863166676,0.6167609883586948,96.6,高风险AI705下凹,AI701同步下降；FI702下降；FIC701下降,产品负荷变化较大,优先复核：疑似氮塞强候选
E19,2026-04-05 09:19:00,2026-04-05 09:42:00,2026-04-05 10:55:00,97.0,99.9066,97.1634,2.7432,128.34,99.87380434683332,98.59067602283508,99.75174586033332,-1.2831283239982412,-1.284749622175502,12.887716929166665,12.617184368453607,12.718559057833334,-0.2705325607130575,-2.099150394130751,42558.79342433334,42070.41762695876,42107.254298,-488.3757973745742,-1.1475320564312366,1889.014849866667,1618.2779616649484,1697.2903340833334,-270.73688820171856,-14.33217363118284,225429.4492333333,225395.1692283505,225071.0072983333,-34.28000498274923,-0.0152065336180932,46440.21438833333,45920.781431597934,45696.98300816667,-519.4329567353998,-1.1184981886429255,88985.89388133335,89180.88881396907,89676.78489716664,194.9949326357164,0.2191301611194138,22670.2579755,22685.694306340207,22695.78968133333,15.43633084020621,0.0680906712966761,6226.131689516666,6259.31002842268,6251.337524433333,33.17833890601469,0.5328884861507053,4.491433588683334,4.545374263170103,4.560092441216667,0.0539406744867694,1.2009678741032472,5.613333495450002,5.622827765912371,5.60801665785,0.009494270462369,0.1691378299554948,94.4,高风险AI705下凹,AI701同步下降；FI702下降；FIC701下降,产品负荷变化较大,优先复核：疑似氮塞强候选
E08,2026-03-30 23:38:00,2026-03-31 00:14:00,2026-03-31 01:24:00,107.0,99.9239,96.9618,2.9621,176.62,99.88949292583334,98.26613313906545,99.70216191633332,-1.6233597867679066,-1.6251556987812823,12.993252801666667,12.460246246682244,12.792340803333332,-0.5330065549844232,-4.102179516710808,42351.60130316667,42347.7699517757,42385.478450500006,-3.831351390974305,-0.009046532534976,1697.8449158166666,1658.473476514019,1670.9778056333334,-39.37143930264756,-2.3189066878767206,222272.9268333333,223727.8025859813,223054.2385533333,1454.8757526480183,0.6545447407272081,46072.88242266666,45498.27708883178,45874.273177333336,-574.6053338348793,-1.2471660196197936,88142.80950683332,88275.78946528037,87653.25351683333,132.97995844704565,0.1508687540039625,22685.9860035,22593.143500467293,22616.561393166663,-92.84250303270528,-0.4092504642221922,5957.483903016667,5969.587183331776,5950.280428033334,12.10328031510926,0.2031609402919338,4.380792299933333,4.40292228714486,4.334244402250001,0.0221299872115272,0.5051594710816131,5.491386580516667,5.51629753871028,5.464726066583333,0.0249109581936126,0.4536369426621003,92.5,高风险AI705下凹,AI701同步下降,原料空气量变化较大；产品负荷变化较大,疑似但需排除：可能受负荷/工况扰动影响
E06,2026-03-30 02:08:00,2026-03-30 02:34:00,2026-03-30 03:21:00,74.0,99.9075,98.6063,1.3012,60.31,99.81151911416666,99.0914246325,99.73042310083332,-0.7200944816666635,-0.7214542850940914,12.806664482666667,12.620086695337836,12.677982616,-0.1865777873288312,-1.4568804202011942,42178.678842,42097.205315878375,42202.55813866667,-81.47352612162649,-0.1931628214976191,1641.7409932333333,1600.4846372905406,1600.3941731166665,-41.25635594279265,-2.512963744758554,224091.708605,224248.92547905404,224220.3401166667,157.2168740540801,0.0701573811154261,45269.6429695,45137.51467527026,45164.40195366667,-132.128294229733,-0.2918695301369026,88519.32942866666,88635.08271891891,88474.07408916666,115.75329025225074,0.1307661174111475,24043.755795,24067.423498445947,24120.0291995,23.667703445946245,0.0984359666923087,6820.389217116666,6945.556109425676,6981.665079716667,125.1668923090092,1.8351869420426383,4.37513609725,4.384578302087838,4.396778162366667,0.0094422048378373,0.2158151113007027,5.429964939766666,5.409999499425676,5.419752812483333,-0.0199654403409903,-0.3676900415097025,86.4,中风险AI705下凹,暂无明显联动证据,未见明显负荷扰动,观察候选：AI705有下凹，联动证据不足
E15,2026-04-03 08:29:00,2026-04-03 08:31:00,2026-04-03 08:38:00,10.0,99.8995,99.5721,0.3275,3.18,99.786616389,99.5826934815,99.71427841183332,-0.2039229074999866,-0.2043589760625114,12.876327419333334,12.458249331,12.334191957499998,-0.4180780883333348,-3.2468736986728524,42372.24856766667,42350.439844,42406.728450666655,-21.80872366666881,-0.0514693564865721,1651.7877421166663,1655.0371338499997,1697.437910933333,3.249391733333141,0.1967196904590926,224264.57579666667,224220.10704,224181.31251333337,-44.46875666666893,-0.0198287029989913,45162.819596500005,45108.8880865,45523.60514383333,-53.93151000000944,-0.1194157284284991,89505.32382949999,89635.614845,89363.04830866666,130.2910155000136,0.1455678946519504,22710.169043333328,22716.795215,22691.216405833333,6.626171666674054,0.0291771129225442,6211.739054366667,6220.06943365,6197.012890666666,8.330379283333059,0.1341070384706043,4.576373306966667,4.5757644175,4.539489006966666,-0.0006088894666671,-0.0133050655142191,5.589111590433333,5.5835543156,5.588643693933334,-0.0055572748333334,-0.0994303789325951,43.4,观察,AI701同步下降,未见明显负荷扰动,观察候选：AI705有下凹，联动证据不足
E26,2026-04-18 14:47:00,2026-04-18 14:50:00,2026-04-18 15:06:00,20.0,99.9289,99.5576,0.3713,6.94,99.82416559816669,99.5819561005,99.74195086216668,-0.2422094976666926,-0.2426361354641174,13.322435061000002,12.6856946945,12.20356137,-0.6367403665000033,-4.779459337459954,39442.52526083334,39557.70078149999,39591.44941416666,115.1755206666494,0.2920084855241744,1526.6551086500003,1540.0618531000002,1597.1103759666664,13.406744449999906,0.8781776823093529,211134.7896033333,210967.7726725,211043.71225,-167.01693083331338,-0.0791044105744459,42927.072396500014,42311.2549815,42805.28014366666,-615.8174150000123,-1.434566534870945,82794.42695416667,83138.31796975,83023.82213716667,343.89101558332914,0.415355269955187,21886.253092833336,21883.717969499998,21875.657063666666,-2.5351233333421987,-0.0115831765382093,5179.311971033333,5181.716528325001,5181.613964816667,2.4045572916675155,0.0464261914539158,3.9380913774666655,3.9444063664,3.926211977016668,0.0063149889333335,0.1603565871901115,4.9327095271,4.950258314625,4.959930729900001,0.0175487875249995,0.3557636513682309,49.6,观察,AI701同步下降,产品负荷变化较大,疑似但需排除：可能受负荷/工况扰动影响
