timestamp,HY_2080_1#AI705.PV,HY_2080_1#AI701.PV,HY_2080_1#AIAS704.PV,HY_2080_1#FI702.PV,HY_2080_1#FIC701.PV,HY_2080_1#LIC701.PV,HY_2080_1#FIQ101.PV,HY_2080_1#FIQC102_2.PV,HY_2080_1#FIC103_2.PV,HY_2080_1#FIC8.PV,HY_2080_1#FIC8.MV,HY_2080_1#FIC1_1.PV,HY_2080_1#FI105.PV,HY_2080_1#PdI2.PV,HY_2080_1#PdI1.PV,HY_2080_1#PIC104.PV,HY_2080_1#PIA2.PV,HY_2080_1#PI1.PV,HY_2080_1#FIC3.MV,HY_2080_1#FI131.PV,HY_2080_1#TI1003.PV,HY_2080_1#AIAS102.PV,HY_2080_1#AIAS103.PV
2026-04-18 14:17:00,99.912815095,13.318223475,0.4970411215,39366.025389999995,1540.6068115,254.6418228,211050.78125,43211.132815000004,82559.171875,258.4517975,60.0,5171.0268555,21870.151364999998,3.91640985,4.9184577465,7.0320198535,32.86115074,414.8183136,32.0,555.8000488499999,,99.575206755,0.126796961
2026-04-18 14:18:00,99.91003418,13.334920405,0.4965293555,39326.880860000005,1545.7422485,252.78678895000002,210833.0,43145.808595,82623.36327999999,258.54667665,60.0,5170.418213000001,21892.033205,3.926811695,4.917758942,7.026907921,32.848848345,414.849472,32.0,612.9605407500001,,99.571216585,0.126796961
2026-04-18 14:19:00,99.90724945,13.351617335,0.4960175905,39336.306639999995,1540.53125,255.19473265,210632.03125,43121.466799999995,82740.38672,259.33891295,60.0,5167.757079999999,21910.438475000003,3.9387161735,4.9157376290000006,7.021795988,32.84826851,414.88059999999996,32.0,622.36499025,,99.567222595,0.12714175900000002
2026-04-18 14:20:00,99.904468535,13.368314265,0.493933067,39526.132815,1542.1842649999999,254.320549,210502.78125,43189.029299999995,82776.98047000001,260.0937347,60.0,5169.9345705,21860.61133,3.9420393705,4.925163746,7.016684294,32.859472275,414.9117584,32.0,581.8119812,,99.563232425,0.128039405
2026-04-18 14:21:00,99.90168761999999,13.385010245,0.491657749,39715.972655000005,1537.494873,251.1882477,211896.21875,43245.128905000005,82501.207035,260.8843536,60.0,5177.034912,21857.57129,3.9266690014999996,4.944438219,7.011572361,32.870676040000006,414.9429169,32.0,619.1050415,,99.55924225,0.128937051
2026-04-18 14:22:00,99.89890289,13.390021325,0.489382416,39749.478514999995,1534.0488890000001,249.03114315,211484.67190000002,43300.79883,82249.46093999999,263.6457672,60.0,5201.6223145,21846.949220000002,3.912618041,4.9345781805,7.0123107435000005,32.8818779,414.9740448,32.0,623.5701599,,99.555252075,0.129834697
2026-04-18 14:23:00,99.89611816,13.389971735,0.48710709799999996,39084.785155000005,1538.8474735,251.0924759,211148.83595,43289.291015,82680.82031499999,262.6450653,60.0,5187.258057,21886.9043,3.9322646855,4.932815552,7.015485525,32.893079760000006,415.00401309999995,32.0,591.1463012500001,,99.552581785,0.130732343
2026-04-18 14:24:00,99.89084625,13.38992214,0.48483178000000005,39126.277344999995,1530.4677125,252.9251709,211003.58595,43264.525389999995,82682.52343999999,260.90225215,60.0,5170.437744,21936.119145,3.943856597,4.9239022729999995,7.018660307,32.90428352,414.9920502,32.0,611.4484253,,99.55337143,0.131629996
2026-04-18 14:25:00,99.8871994,13.38987255,0.482556462,39340.69141,1530.494263,254.8338165,210858.32030000002,43239.75781,82684.22266,259.2358093,60.0,5163.186035000001,21891.581055000002,3.9374347925,4.926156520499999,7.0218350885,32.915485385,414.96980285,32.0,624.99160765,,99.55432128999999,0.132527649
2026-04-18 14:26:00,99.88354492,13.38982296,0.48028114450000003,39579.884770000004,1525.9000245000002,254.26586915000001,210713.0625,43257.835935,82685.921875,259.52493285,60.0,5184.0041505,21863.149415,3.929014802,4.92297411,7.0250098705,32.92668724,414.94755555,32.0,609.2016907,,99.555267335,0.133425295
2026-04-18 14:27:00,99.87989807,13.38977337,0.4780058115,39421.574219999995,1521.434265,253.83219145,210567.80469999998,43317.449215,82696.14452999999,256.85848999999996,60.0,5169.6569825,21903.454105,3.92059505,4.9360330105,7.0281846525,32.93789101,414.9253082,32.0,612.71969605,,99.55621719499999,0.134322941
2026-04-18 14:28:00,99.876247405,13.389744284999999,0.475730494,39593.771485000005,1529.301514,253.9623947,210679.42969999998,43377.062505,82710.86327999999,257.13813785,60.0,5194.469971,21888.41504,3.9207901955,4.9522440435,7.031359672500001,32.94734955,414.9030609,32.0,609.684082,,99.55716705500001,0.135220587
